name,pid,num_tracks,num_holdouts,holdout_ratio
ugh,1002718,19,14,0.7368421052631579
17,1002719,18,13,0.7222222222222222
running playlist,1002720,19,14,0.7368421052631579
cAR,1002721,65,60,0.9230769230769231
Worship,1002722,33,28,0.8484848484848485
numbers,1002723,21,16,0.7619047619047619
Pool,1002725,17,12,0.7058823529411765
My Youth,1002726,69,64,0.927536231884058
white noise,1002728,22,17,0.7727272727272727
SKRRT,1002729,11,6,0.5454545454545454
Yeehaw,1002730,47,42,0.8936170212765957
Wedding,1002735,51,46,0.9019607843137255
Skating,1002737,30,25,0.8333333333333334
The Feel-Good Flavors Playlist,1002740,40,35,0.875
bay area !!,1002741,62,57,0.9193548387096774
newish,1002742,24,19,0.7916666666666666
LOVE. ,1002743,14,9,0.6428571428571429
summer 16,1002745,71,66,0.9295774647887324
chill out,1002750,67,62,0.9253731343283582
fun,1002751,18,13,0.7222222222222222
Pierce the veil ,1002753,80,75,0.9375
Dope,1002755,13,8,0.6153846153846154
rap,1002758,47,42,0.8936170212765957
My Favs,1002759,88,83,0.9431818181818182
EDM,1002760,53,48,0.9056603773584906
ugh,1002762,22,17,0.7727272727272727
car,1002763,68,63,0.9264705882352942
90,1002766,97,92,0.9484536082474226
Classic Rock,1002767,67,62,0.9253731343283582
Mellow Vibes,1002768,27,22,0.8148148148148148
Muzak,1002769,78,73,0.9358974358974359
lalala ,1002773,95,90,0.9473684210526315
hip hop,1002775,25,20,0.8
Mood,1002776,31,26,0.8387096774193549
Vibes,1002777,28,23,0.8214285714285714
CAR,1002778,12,7,0.5833333333333334
christmas songs,1002779,45,40,0.8888888888888888
Hybrid,1002780,38,33,0.868421052631579
high vibes,1002781,37,32,0.8648648648648649
90's Baby,1002782,22,17,0.7727272727272727
Wave,1002783,37,32,0.8648648648648649
Hipster,1002784,87,82,0.9425287356321839
setlist,1002785,52,47,0.9038461538461539
Electric Feel,1002786,59,54,0.9152542372881356
Pre,1002788,17,12,0.7058823529411765
Old People,1002789,54,49,0.9074074074074074
Morning,1002791,23,18,0.782608695652174
Michael's Playlist,1002798,15,10,0.6666666666666666
wake up,1002799,20,15,0.75
Classics,1002801,70,65,0.9285714285714286
mix1,1002802,60,55,0.9166666666666666
feb 17,1002803,61,56,0.9180327868852459
im sad,1002804,13,8,0.6153846153846154
Traffic Jams,1002805,10,5,0.5
Nuevas,1002806,21,16,0.7619047619047619
chill out,1002807,80,75,0.9375
Hidden Gems,1002809,84,79,0.9404761904761905
Allison,1002810,17,12,0.7058823529411765
sunday worship,1002811,11,6,0.5454545454545454
Sunrise,1002812,52,47,0.9038461538461539
Jackie,1002818,47,42,0.8936170212765957
FU,1002819,66,61,0.9242424242424242
car,1002820,47,42,0.8936170212765957
Twang,1002822,83,78,0.9397590361445783
mood,1002823,41,36,0.8780487804878049
july 2016 ,1002824,25,20,0.8
Music,1002825,25,20,0.8
xmas 2015,1002827,14,9,0.6428571428571429
em,1002828,13,8,0.6153846153846154
roadtrip,1002830,73,68,0.9315068493150684
not country,1002831,77,72,0.935064935064935
Indi,1002838,47,42,0.8936170212765957
Sleepy,1002845,40,35,0.875
jams,1002846,12,7,0.5833333333333334
Beachin',1002847,96,91,0.9479166666666666
90s nostalgia,1002848,72,67,0.9305555555555556
worship,1002849,68,63,0.9264705882352942
Fitness,1002852,37,32,0.8648648648648649
bubbles,1002853,30,25,0.8333333333333334
Gym,1002855,21,16,0.7619047619047619
24K Magic,1002856,19,14,0.7368421052631579
2017,1002857,89,84,0.9438202247191011
My Favorite Songs,1002859,16,11,0.6875
OLD SCHOOL ,1002860,18,13,0.7222222222222222
Reggae,1002862,55,50,0.9090909090909091
workin out,1002864,68,63,0.9264705882352942
Gabby,1002865,28,23,0.8214285714285714
Vitamin D,1002866,58,53,0.9137931034482759
Summer 2017,1002868,46,41,0.8913043478260869
classical,1002870,37,32,0.8648648648648649
Ava,1002871,27,22,0.8148148148148148
Childish ,1002877,44,39,0.8863636363636364
❤❤,1002880,30,25,0.8333333333333334
christmas,1002882,51,46,0.9019607843137255
Oldies,1002883,23,18,0.782608695652174
dec 16,1002884,42,37,0.8809523809523809
summer 17,1002886,61,56,0.9180327868852459
Singing in the Shower,1002887,72,67,0.9305555555555556
Happy,1002888,88,83,0.9431818181818182
Covers,1002891,16,11,0.6875
Drive,1002892,50,45,0.9
sick,1002893,75,70,0.9333333333333333
Gerald,1002896,48,43,0.8958333333333334
get fit,1002897,28,23,0.8214285714285714
Gym,1002899,48,43,0.8958333333333334
sad.,1002900,30,25,0.8333333333333334
Trap music ,1002901,33,28,0.8484848484848485
Yep. ,1002905,54,49,0.9074074074074074
lit,1002907,34,29,0.8529411764705882
80s,1002908,30,25,0.8333333333333334
summer 2016,1002910,61,56,0.9180327868852459
mhmm,1002911,47,42,0.8936170212765957
Daily grind,1002912,83,78,0.9397590361445783
gang,1002913,60,55,0.9166666666666666
Jams,1002916,58,53,0.9137931034482759
Christmas Vibes,1002917,31,26,0.8387096774193549
golden,1002918,17,12,0.7058823529411765
March 2017,1002919,35,30,0.8571428571428571
SUMMER JAMZ,1002922,53,48,0.9056603773584906
Exercise,1002924,69,64,0.927536231884058
current,1002925,75,70,0.9333333333333333
pnd,1002926,30,25,0.8333333333333334
Workout,1002927,19,14,0.7368421052631579
kat ,1002928,14,9,0.6428571428571429
Hip Hop,1002933,51,46,0.9019607843137255
matthew,1002936,11,6,0.5454545454545454
pop,1002939,71,66,0.9295774647887324
Restart,1002943,47,42,0.8936170212765957
A PlayList,1002944,45,40,0.8888888888888888
Clara,1002946,40,35,0.875
Depressing,1002947,30,25,0.8333333333333334
cruisin',1002948,37,32,0.8648648648648649
Top 15,1002949,15,10,0.6666666666666666
Hood Rat,1002952,19,14,0.7368421052631579
Heartbroken,1002960,12,7,0.5833333333333334
Roadtrip,1002961,57,52,0.9122807017543859
About A Girl,1002962,44,39,0.8863636363636364
Mom Playlist,1002963,95,90,0.9473684210526315
Wedding Reception,1002966,95,90,0.9473684210526315
Disney!,1002967,21,16,0.7619047619047619
Backyard,1002968,68,63,0.9264705882352942
Run the World,1002970,32,27,0.84375
Car Rides,1002971,41,36,0.8780487804878049
ALEX,1002972,18,13,0.7222222222222222
groovin',1002973,30,25,0.8333333333333334
Anthony,1002975,60,55,0.9166666666666666
Rap,1002977,34,29,0.8529411764705882
<3,1002979,15,10,0.6666666666666666
Spring Break 2017,1002980,88,83,0.9431818181818182
Alternative ,1002981,98,93,0.9489795918367347
Fire,1002984,11,6,0.5454545454545454
love songs,1002987,56,51,0.9107142857142857
Woo,1002990,55,50,0.9090909090909091
soccer,1002993,29,24,0.8275862068965517
Disney,1002994,42,37,0.8809523809523809
everything,1002996,27,22,0.8148148148148148
hype ,1002999,17,12,0.7058823529411765
Throwbacks,1003001,90,85,0.9444444444444444
trash,1003003,98,93,0.9489795918367347
Winter Playlist,1003004,80,75,0.9375
Random mix,1003007,59,54,0.9152542372881356
Turn up!,1003009,56,51,0.9107142857142857
⚓️,1003010,33,28,0.8484848484848485
December 2015,1003012,97,92,0.9484536082474226
fun,1003013,40,35,0.875
throwback,1003014,59,54,0.9152542372881356
pop,1003015,29,24,0.8275862068965517
get it,1003016,61,56,0.9180327868852459
workout,1003017,73,68,0.9315068493150684
slow jams,1003019,18,13,0.7222222222222222
Playlist,1003021,82,77,0.9390243902439024
CAmp,1003023,12,7,0.5833333333333334
lds,1003024,43,38,0.8837209302325582
relax,1003025,82,77,0.9390243902439024
plane,1003027,39,34,0.8717948717948718
dope ,1003028,56,51,0.9107142857142857
Work TIme,1003029,83,78,0.9397590361445783
Tomorrow,1003030,16,11,0.6875
Fnaf,1003031,43,38,0.8837209302325582
LIFE,1003033,21,16,0.7619047619047619
jingle ball,1003034,37,32,0.8648648648648649
uplift,1003035,78,73,0.9358974358974359
Rock,1003038,26,21,0.8076923076923077
grit,1003039,86,81,0.9418604651162791
mom.,1003040,14,9,0.6428571428571429
Hoops,1003041,28,23,0.8214285714285714
Valentines Day,1003043,24,19,0.7916666666666666
Don't Let Me Down,1003045,15,10,0.6666666666666666
Gym,1003046,34,29,0.8529411764705882
Hype,1003049,28,23,0.8214285714285714
mom,1003053,35,30,0.8571428571428571
lili,1003054,95,90,0.9473684210526315
fall '16,1003055,27,22,0.8148148148148148
jam,1003057,50,45,0.9
Early 2000's,1003059,47,42,0.8936170212765957
turnup,1003060,58,53,0.9137931034482759
New Beginnings ,1003063,16,11,0.6875
mhm,1003064,32,27,0.84375
2k17,1003065,93,88,0.946236559139785
Alex,1003066,29,24,0.8275862068965517
Gym,1003067,61,56,0.9180327868852459
Future,1003068,78,73,0.9358974358974359
throwbacks,1003072,42,37,0.8809523809523809
Vale,1003073,20,15,0.75
Lalala,1003075,14,9,0.6428571428571429
for ben. ,1003077,78,73,0.9358974358974359
GYM,1003078,82,77,0.9390243902439024
new,1003079,22,17,0.7727272727272727
sleep,1003081,37,32,0.8648648648648649
aesthetic,1003082,66,61,0.9242424242424242
Weird,1003083,24,19,0.7916666666666666
Feel Good,1003086,94,89,0.9468085106382979
hype,1003087,37,32,0.8648648648648649
Beats,1003089,60,55,0.9166666666666666
zz,1003092,37,32,0.8648648648648649
Step,1003094,12,7,0.5833333333333334
grunge,1003095,24,19,0.7916666666666666
Sundays,1003098,73,68,0.9315068493150684
<3,1003101,33,28,0.8484848484848485
🤘🏻,1003102,49,44,0.8979591836734694
wake up happy,1003103,21,16,0.7619047619047619
Pre Ceremony,1003104,42,37,0.8809523809523809
camp,1003106,50,45,0.9
Memo,1003109,41,36,0.8780487804878049
2017,1003110,33,28,0.8484848484848485
simp,1003111,59,54,0.9152542372881356
rock out ,1003112,54,49,0.9074074074074074
oof,1003114,40,35,0.875
Ceremony,1003116,14,9,0.6428571428571429
September 2015,1003117,30,25,0.8333333333333334
LuCa,1003119,66,61,0.9242424242424242
Workout Playlist,1003120,47,42,0.8936170212765957
Halloween,1003121,27,22,0.8148148148148148
CLassical,1003123,46,41,0.8913043478260869
Beachy,1003124,79,74,0.9367088607594937
road trip,1003125,39,34,0.8717948717948718
100,1003126,61,56,0.9180327868852459
feels,1003130,11,6,0.5454545454545454
1975,1003132,49,44,0.8979591836734694
boom,1003133,95,90,0.9473684210526315
Fiesta,1003134,31,26,0.8387096774193549
feels,1003136,42,37,0.8809523809523809
awesome,1003137,14,9,0.6428571428571429
Boat Tunes,1003139,74,69,0.9324324324324325
17,1003140,45,40,0.8888888888888888
bday,1003141,38,33,0.868421052631579
Shower,1003142,11,6,0.5454545454545454
Country Bumpkin,1003143,41,36,0.8780487804878049
Sleep,1003145,21,16,0.7619047619047619
Lit,1003146,24,19,0.7916666666666666
Long Drives,1003148,40,35,0.875
Dangerous,1003150,18,13,0.7222222222222222
CS,1003151,22,17,0.7727272727272727
CARDIO,1003152,31,26,0.8387096774193549
rafael,1003153,51,46,0.9019607843137255
🔥LIT🔥,1003154,21,16,0.7619047619047619
Oldies,1003156,42,37,0.8809523809523809
I Love You :),1003158,19,14,0.7368421052631579
lit,1003160,19,14,0.7368421052631579
Oldies ,1003162,11,6,0.5454545454545454
Spanish,1003163,25,20,0.8
Worship,1003168,52,47,0.9038461538461539
#Summer,1003175,45,40,0.8888888888888888
jazz,1003177,39,34,0.8717948717948718
My best songs,1003178,14,9,0.6428571428571429
play that funky music,1003179,57,52,0.9122807017543859
LOUD!,1003180,55,50,0.9090909090909091
Chill Time,1003181,53,48,0.9056603773584906
Matt,1003182,39,34,0.8717948717948718
yes,1003183,89,84,0.9438202247191011
sleepytime ,1003184,83,78,0.9397590361445783
gang gang,1003186,27,22,0.8148148148148148
Singing Songs,1003188,45,40,0.8888888888888888
workout,1003189,34,29,0.8529411764705882
D.A.N.C.E.,1003190,12,7,0.5833333333333334
chilll,1003191,79,74,0.9367088607594937
remix,1003193,62,57,0.9193548387096774
chiller,1003194,48,43,0.8958333333333334
throwback,1003195,100,95,0.95
Everything,1003197,62,57,0.9193548387096774
Beachin,1003198,80,75,0.9375
Claudia,1003202,40,35,0.875
Hyped.,1003205,82,77,0.9390243902439024
Ppp,1003206,20,15,0.75
sin,1003207,19,14,0.7368421052631579
christmas ,1003209,41,36,0.8780487804878049
car rides,1003210,16,11,0.6875
Country Rock,1003219,22,17,0.7727272727272727
Summer!!,1003221,68,63,0.9264705882352942
Bubblegum,1003223,85,80,0.9411764705882353
zzz,1003225,32,27,0.84375
winter 2016,1003226,43,38,0.8837209302325582
Jesus Music,1003227,56,51,0.9107142857142857
LOL,1003229,70,65,0.9285714285714286
pump up,1003230,17,12,0.7058823529411765
My songs,1003232,37,32,0.8648648648648649
summer 2016,1003233,46,41,0.8913043478260869
Beach ,1003234,71,66,0.9295774647887324
acoustic,1003236,28,23,0.8214285714285714
Christmas time!,1003237,55,50,0.9090909090909091
Study,1003238,31,26,0.8387096774193549
party,1003239,47,42,0.8936170212765957
feel good,1003240,44,39,0.8863636363636364
Road Trip,1003241,59,54,0.9152542372881356
What I Like,1003243,48,43,0.8958333333333334
slow country,1003246,89,84,0.9438202247191011
VIBES,1003248,53,48,0.9056603773584906
Mellow tunes,1003249,80,75,0.9375
Prayer,1003250,18,13,0.7222222222222222
Throwback Jams,1003251,61,56,0.9180327868852459
Sh,1003254,24,19,0.7916666666666666
90's,1003255,65,60,0.9230769230769231
Fiesta ,1003256,92,87,0.9456521739130435
🤙🏼,1003258,74,69,0.9324324324324325
PARTY JAMZ,1003259,35,30,0.8571428571428571
✈️,1003260,11,6,0.5454545454545454
Hip Hop,1003261,73,68,0.9315068493150684
sprang break ,1003262,59,54,0.9152542372881356
old stuff,1003265,90,85,0.9444444444444444
Those days ,1003266,23,18,0.782608695652174
Rap,1003268,39,34,0.8717948717948718
rolas,1003270,15,10,0.6666666666666666
chill ❄️,1003271,28,23,0.8214285714285714
Michelle,1003273,39,34,0.8717948717948718
drive,1003277,62,57,0.9193548387096774
Bump,1003279,71,66,0.9295774647887324
Spanish,1003281,55,50,0.9090909090909091
Kids Party,1003284,34,29,0.8529411764705882
pain,1003285,80,75,0.9375
spring17,1003287,69,64,0.927536231884058
Hard Rock,1003290,39,34,0.8717948717948718
DR,1003291,48,43,0.8958333333333334
Thoughts,1003292,62,57,0.9193548387096774
R&B,1003293,51,46,0.9019607843137255
Work,1003294,94,89,0.9468085106382979
Rock,1003295,64,59,0.921875
disney,1003298,12,7,0.5833333333333334
winter 2016,1003299,54,49,0.9074074074074074
Modern Music ,1003300,33,28,0.8484848484848485
March 2017,1003301,27,22,0.8148148148148148
bb,1003303,20,15,0.75
ugh,1003304,27,22,0.8148148148148148
reggae,1003306,19,14,0.7368421052631579
Spencer,1003307,67,62,0.9253731343283582
vibezzz,1003308,94,89,0.9468085106382979
feelin,1003311,49,44,0.8979591836734694
My Jams,1003314,49,44,0.8979591836734694
Summer Daze,1003321,98,93,0.9489795918367347
punk rock,1003322,75,70,0.9333333333333333
ryan,1003323,27,22,0.8148148148148148
STUDY STUDY STUDY;,1003325,20,15,0.75
Happy Daze,1003326,36,31,0.8611111111111112
run,1003327,96,91,0.9479166666666666
The Feels,1003329,81,76,0.9382716049382716
Good Stuff,1003330,43,38,0.8837209302325582
Alt,1003332,70,65,0.9285714285714286
relaxing,1003333,37,32,0.8648648648648649
On The Road,1003334,59,54,0.9152542372881356
2016,1003335,24,19,0.7916666666666666
Beachin,1003336,62,57,0.9193548387096774
workout,1003339,17,12,0.7058823529411765
Sad song ,1003340,15,10,0.6666666666666666
Play it Forward,1003341,30,25,0.8333333333333334
Random,1003342,24,19,0.7916666666666666
God,1003343,20,15,0.75
car tunes,1003344,34,29,0.8529411764705882
rap playlist ,1003345,84,79,0.9404761904761905
car,1003348,40,35,0.875
Fall 17,1003349,25,20,0.8
Love,1003351,18,13,0.7222222222222222
Winter 2015,1003352,38,33,0.868421052631579
Party,1003353,90,85,0.9444444444444444
Down,1003354,34,29,0.8529411764705882
rap and hip hop,1003355,24,19,0.7916666666666666
Love Yourself,1003356,34,29,0.8529411764705882
oldies,1003362,40,35,0.875
beach,1003363,50,45,0.9
WOD,1003364,45,40,0.8888888888888888
KMS,1003365,18,13,0.7222222222222222
hike,1003368,20,15,0.75
RAGE,1003369,68,63,0.9264705882352942
rock2,1003370,32,27,0.84375
euphoria,1003371,39,34,0.8717948717948718
420,1003372,62,57,0.9193548387096774
INXS,1003373,17,12,0.7058823529411765
jesus ,1003374,74,69,0.9324324324324325
Rager,1003375,91,86,0.945054945054945
Cancer,1003378,33,28,0.8484848484848485
Good Vibes,1003379,29,24,0.8275862068965517
mood,1003380,63,58,0.9206349206349206
Disney,1003381,38,33,0.868421052631579
EDM,1003382,19,14,0.7368421052631579
Rawk,1003383,23,18,0.782608695652174
Chance ,1003385,44,39,0.8863636363636364
Take it easy,1003386,28,23,0.8214285714285714
2015 Top Tracks,1003389,100,95,0.95
vibin,1003390,25,20,0.8
for my love,1003391,29,24,0.8275862068965517
Ed Sheeran – ÷ (Deluxe),1003392,36,31,0.8611111111111112
80's rock,1003393,96,91,0.9479166666666666
Summer ,1003395,50,45,0.9
Sway,1003396,19,14,0.7368421052631579
Gaming,1003398,44,39,0.8863636363636364
sleep,1003399,26,21,0.8076923076923077
Olive,1003400,44,39,0.8863636363636364
oh,1003402,44,39,0.8863636363636364
cry babY,1003403,17,12,0.7058823529411765
Oldies But Goodies,1003404,24,19,0.7916666666666666
Basics,1003406,35,30,0.8571428571428571
Dance,1003407,48,43,0.8958333333333334
calle,1003409,89,84,0.9438202247191011
tunes ,1003412,50,45,0.9
throwback music,1003413,11,6,0.5454545454545454
Summer14,1003414,70,65,0.9285714285714286
hey,1003416,86,81,0.9418604651162791
pump,1003417,27,22,0.8148148148148148
throwback,1003419,52,47,0.9038461538461539
REMIX,1003422,33,28,0.8484848484848485
The Feels,1003423,19,14,0.7368421052631579
Iceland,1003424,25,20,0.8
Logic,1003426,38,33,0.868421052631579
Slow Down,1003427,29,24,0.8275862068965517
Summer 2017,1003428,30,25,0.8333333333333334
lit,1003431,22,17,0.7727272727272727
rap ,1003432,73,68,0.9315068493150684
fall 16,1003433,30,25,0.8333333333333334
Acoustic,1003434,57,52,0.9122807017543859
happy,1003436,36,31,0.8611111111111112
Rainy Days,1003437,31,26,0.8387096774193549
Summer 2016,1003439,40,35,0.875
dance,1003441,18,13,0.7222222222222222
GOOD VIBES,1003444,61,56,0.9180327868852459
glory days,1003445,64,59,0.921875
Acoustic covers,1003446,14,9,0.6428571428571429
sad,1003447,52,47,0.9038461538461539
Life,1003448,12,7,0.5833333333333334
Listen,1003449,43,38,0.8837209302325582
Ariel,1003450,51,46,0.9019607843137255
Soft Rock,1003452,37,32,0.8648648648648649
Bangers,1003454,34,29,0.8529411764705882
throwbax,1003455,81,76,0.9382716049382716
buzz,1003456,14,9,0.6428571428571429
sleep,1003457,15,10,0.6666666666666666
classic hip hop,1003461,20,15,0.75
90s,1003462,87,82,0.9425287356321839
Classic Rock,1003463,77,72,0.935064935064935
cocktail party,1003466,63,58,0.9206349206349206
throwback ,1003467,68,63,0.9264705882352942
Destiny,1003469,25,20,0.8
slow ,1003471,32,27,0.84375
Running Mix,1003476,94,89,0.9468085106382979
,1003478,72,67,0.9305555555555556
,1003483,45,40,0.8888888888888888
,1003489,89,84,0.9438202247191011
,1003495,78,73,0.9358974358974359
,1003499,47,42,0.8936170212765957
,1003505,99,94,0.9494949494949495
,1003506,57,52,0.9122807017543859
,1003509,80,75,0.9375
,1003512,65,60,0.9230769230769231
,1003519,40,35,0.875
,1003520,46,41,0.8913043478260869
,1003521,48,43,0.8958333333333334
,1003522,99,94,0.9494949494949495
,1003524,70,65,0.9285714285714286
,1003527,45,40,0.8888888888888888
,1003530,95,90,0.9473684210526315
,1003537,92,87,0.9456521739130435
,1003539,51,46,0.9019607843137255
,1003550,71,66,0.9295774647887324
,1003553,64,59,0.921875
,1003557,52,47,0.9038461538461539
,1003559,66,61,0.9242424242424242
,1003568,40,35,0.875
,1003569,60,55,0.9166666666666666
,1003573,54,49,0.9074074074074074
,1003575,90,85,0.9444444444444444
,1003576,58,53,0.9137931034482759
,1003586,42,37,0.8809523809523809
,1003594,80,75,0.9375
,1003597,58,53,0.9137931034482759
,1003598,74,69,0.9324324324324325
,1003604,55,50,0.9090909090909091
,1003611,93,88,0.946236559139785
,1003613,52,47,0.9038461538461539
,1003622,100,95,0.95
,1003626,58,53,0.9137931034482759
,1003632,42,37,0.8809523809523809
,1003636,91,86,0.945054945054945
,1003639,71,66,0.9295774647887324
,1003646,41,36,0.8780487804878049
,1003647,67,62,0.9253731343283582
,1003651,76,71,0.9342105263157895
,1003658,67,62,0.9253731343283582
,1003662,71,66,0.9295774647887324
,1003675,64,59,0.921875
,1003676,44,39,0.8863636363636364
,1003681,45,40,0.8888888888888888
,1003690,54,49,0.9074074074074074
,1003693,67,62,0.9253731343283582
,1003696,77,72,0.935064935064935
,1003697,48,43,0.8958333333333334
,1003702,65,60,0.9230769230769231
,1003703,43,38,0.8837209302325582
,1003716,55,50,0.9090909090909091
,1003718,86,81,0.9418604651162791
,1003722,57,52,0.9122807017543859
,1003727,54,49,0.9074074074074074
,1003729,75,70,0.9333333333333333
,1003733,53,48,0.9056603773584906
,1003734,93,88,0.946236559139785
,1003736,51,46,0.9019607843137255
,1003737,49,44,0.8979591836734694
,1003738,49,44,0.8979591836734694
,1003740,57,52,0.9122807017543859
,1003742,75,70,0.9333333333333333
,1003743,45,40,0.8888888888888888
,1003758,96,91,0.9479166666666666
,1003760,84,79,0.9404761904761905
,1003761,44,39,0.8863636363636364
,1003763,62,57,0.9193548387096774
,1003767,80,75,0.9375
,1003784,46,41,0.8913043478260869
,1003785,40,35,0.875
,1003797,53,48,0.9056603773584906
,1003799,40,35,0.875
,1003800,92,87,0.9456521739130435
,1003803,74,69,0.9324324324324325
,1003812,48,43,0.8958333333333334
,1003817,51,46,0.9019607843137255
,1003818,47,42,0.8936170212765957
,1003821,72,67,0.9305555555555556
,1003823,86,81,0.9418604651162791
,1003824,48,43,0.8958333333333334
,1003825,74,69,0.9324324324324325
,1003826,53,48,0.9056603773584906
,1003830,47,42,0.8936170212765957
,1003831,47,42,0.8936170212765957
,1003832,62,57,0.9193548387096774
,1003841,93,88,0.946236559139785
,1003848,52,47,0.9038461538461539
,1003861,40,35,0.875
,1003862,45,40,0.8888888888888888
,1003871,85,80,0.9411764705882353
,1003874,89,84,0.9438202247191011
,1003881,40,35,0.875
,1003883,50,45,0.9
,1003887,45,40,0.8888888888888888
,1003889,70,65,0.9285714285714286
,1003891,72,67,0.9305555555555556
,1003898,43,38,0.8837209302325582
,1003917,61,56,0.9180327868852459
,1003919,49,44,0.8979591836734694
,1003921,72,67,0.9305555555555556
,1003922,43,38,0.8837209302325582
,1003924,40,35,0.875
,1003927,68,63,0.9264705882352942
,1003928,64,59,0.921875
,1003930,60,55,0.9166666666666666
,1003933,69,64,0.927536231884058
,1003934,55,50,0.9090909090909091
,1003936,76,71,0.9342105263157895
,1003940,69,64,0.927536231884058
,1003942,59,54,0.9152542372881356
,1003945,80,75,0.9375
,1003952,42,37,0.8809523809523809
,1003953,65,60,0.9230769230769231
,1003955,44,39,0.8863636363636364
,1003958,62,57,0.9193548387096774
,1003964,68,63,0.9264705882352942
,1003972,91,86,0.945054945054945
,1003975,67,62,0.9253731343283582
,1003978,59,54,0.9152542372881356
,1003979,99,94,0.9494949494949495
,1003985,50,45,0.9
,1003989,60,55,0.9166666666666666
,1003991,41,36,0.8780487804878049
,1003992,62,57,0.9193548387096774
,1003993,91,86,0.945054945054945
,1004004,81,76,0.9382716049382716
,1004006,53,48,0.9056603773584906
,1004008,57,52,0.9122807017543859
,1004009,40,35,0.875
,1004012,82,77,0.9390243902439024
,1004019,47,42,0.8936170212765957
,1004020,66,61,0.9242424242424242
,1004021,84,79,0.9404761904761905
,1004022,79,74,0.9367088607594937
,1004028,63,58,0.9206349206349206
,1004037,80,75,0.9375
,1004039,48,43,0.8958333333333334
,1004040,42,37,0.8809523809523809
,1004046,53,48,0.9056603773584906
,1004048,64,59,0.921875
,1004057,49,44,0.8979591836734694
,1004060,74,69,0.9324324324324325
,1004062,40,35,0.875
,1004063,82,77,0.9390243902439024
,1004073,54,49,0.9074074074074074
,1004082,40,35,0.875
,1004083,49,44,0.8979591836734694
,1004085,56,51,0.9107142857142857
,1004090,84,79,0.9404761904761905
,1004093,83,78,0.9397590361445783
,1004094,40,35,0.875
,1004096,91,86,0.945054945054945
,1004097,60,55,0.9166666666666666
,1004102,77,72,0.935064935064935
,1004103,44,39,0.8863636363636364
,1004108,46,41,0.8913043478260869
,1004111,41,36,0.8780487804878049
,1004114,41,36,0.8780487804878049
,1004115,55,50,0.9090909090909091
,1004116,41,36,0.8780487804878049
,1004122,88,83,0.9431818181818182
,1004123,45,40,0.8888888888888888
,1004124,76,71,0.9342105263157895
,1004127,52,47,0.9038461538461539
,1004129,49,44,0.8979591836734694
,1004136,76,71,0.9342105263157895
,1004138,100,95,0.95
,1004145,52,47,0.9038461538461539
,1004150,94,89,0.9468085106382979
,1004151,44,39,0.8863636363636364
,1004156,51,46,0.9019607843137255
,1004158,61,56,0.9180327868852459
,1004159,51,46,0.9019607843137255
,1004160,51,46,0.9019607843137255
,1004165,73,68,0.9315068493150684
,1004168,64,59,0.921875
,1004179,45,40,0.8888888888888888
,1004197,93,88,0.946236559139785
,1004199,67,62,0.9253731343283582
,1004201,68,63,0.9264705882352942
,1004202,67,62,0.9253731343283582
,1004205,42,37,0.8809523809523809
,1004209,94,89,0.9468085106382979
,1004211,40,35,0.875
,1004220,54,49,0.9074074074074074
,1004225,69,64,0.927536231884058
,1004226,48,43,0.8958333333333334
,1004229,46,41,0.8913043478260869
,1004233,74,69,0.9324324324324325
,1004234,41,36,0.8780487804878049
,1004240,65,60,0.9230769230769231
,1004243,95,90,0.9473684210526315
,1004244,79,74,0.9367088607594937
,1004247,63,58,0.9206349206349206
,1004249,75,70,0.9333333333333333
,1004251,56,51,0.9107142857142857
,1004255,88,83,0.9431818181818182
,1004259,74,69,0.9324324324324325
,1004261,45,40,0.8888888888888888
,1004262,45,40,0.8888888888888888
,1004263,74,69,0.9324324324324325
,1004264,68,63,0.9264705882352942
,1004265,64,59,0.921875
,1004272,84,79,0.9404761904761905
,1004276,70,65,0.9285714285714286
,1004280,90,85,0.9444444444444444
,1004281,68,63,0.9264705882352942
,1004282,80,75,0.9375
,1004283,73,68,0.9315068493150684
,1004287,53,48,0.9056603773584906
,1004288,40,35,0.875
,1004290,53,48,0.9056603773584906
,1004294,80,75,0.9375
,1004295,71,66,0.9295774647887324
,1004304,40,35,0.875
,1004305,61,56,0.9180327868852459
,1004306,43,38,0.8837209302325582
,1004316,41,36,0.8780487804878049
,1004319,54,49,0.9074074074074074
,1004322,62,57,0.9193548387096774
,1004327,51,46,0.9019607843137255
,1004328,64,59,0.921875
,1004341,48,43,0.8958333333333334
,1004351,42,37,0.8809523809523809
,1004356,80,75,0.9375
,1004358,77,72,0.935064935064935
,1004372,59,54,0.9152542372881356
,1004377,55,50,0.9090909090909091
,1004379,62,57,0.9193548387096774
,1004381,40,35,0.875
,1004393,49,44,0.8979591836734694
,1004397,83,78,0.9397590361445783
,1004398,80,75,0.9375
,1004399,86,81,0.9418604651162791
,1004400,48,43,0.8958333333333334
,1004402,40,35,0.875
,1004403,41,36,0.8780487804878049
,1004404,45,40,0.8888888888888888
,1004408,94,89,0.9468085106382979
,1004419,53,48,0.9056603773584906
,1004427,68,63,0.9264705882352942
,1004443,80,75,0.9375
,1004447,61,56,0.9180327868852459
,1004449,47,42,0.8936170212765957
,1004455,44,39,0.8863636363636364
,1004458,49,44,0.8979591836734694
,1004462,40,35,0.875
,1004466,83,78,0.9397590361445783
